siren,email,email_normalized,societe,source,status,rejection_reason,is_generic_email,is_disposable_email,has_valid_mx
"552081317","Contact@ACME-Conseil.fr","contact@acme-conseil.fr","ACME Conseil","scraping","valid","","true","false","true"
"552081317","contact@acme-conseil.fr","contact@acme-conseil.fr","Acme Conseil SARL","pappers","valid","","true","false","true"
"443061841","j.martin@formapro.fr","j.martin@formapro.fr","FormaPro","scraping","valid","","false","false","true"
"443061841","info@formapro.fr","info@formapro.fr","FORMAPRO","scraping","valid","","true","false","true"
"—","claire.dubois@vinexpert.fr","claire.dubois@vinexpert.fr","Vinexpert","scraping","rejected","SIREN invalide: "—"","false","false","false"
"812998002","nope","nope","BTP Solutions","scraping","rejected","Domaine sans MX: null","false","false","false"
"812998002","p.durand@btp-solutions.fr","p.durand@btp-solutions.fr","BTP Solutions","pappers","valid","","false","false","true"
"327911044","test@mailinator.com","test@mailinator.com","QuickWin","scraping","rejected","Email jetable: mailinator.com","false","true","true"
"327911044","DIRECTION@quickwin.fr","direction@quickwin.fr","Quick Win","irene","valid","","true","false","true"
"552081317","contact@acme-conseil.fr","contact@acme-conseil.fr","ACME Conseils","irene","valid","","true","false","true"
